City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Rurrenabaque,BO,85.89,few clouds,-14.4413,-67.5278,Casa de Campo
577,Sao Pedro Do Piaui,BR,88.29,few clouds,-5.9294,-42.7186,Pousada São Francisco
579,Yei,SS,80.96,broken clouds,4.095,30.6779,Twins Hotel Yei
581,Oktyabrskoye,RU,78.35,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
586,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
588,Salinopolis,BR,83.77,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
592,Velyka Lepetykha,UA,86.94,broken clouds,47.1757,33.9436,беседка для отдыха Островка
594,Muros,ES,82.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
595,Keti Bandar,PK,86.05,light rain,24.1447,67.4497,Haji laloo memon house
597,Jolo,PH,77.95,broken clouds,6.05,121.0167,Narde Tumotod
599,Eydhafushi,MV,82.6,overcast clouds,5.1033,73.0708,Soneva Fushi
604,Moa,CU,84.22,few clouds,20.6569,-74.9403,Carmen
605,Catamarca,AR,75.58,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
607,Mayo,US,89.94,few clouds,38.8876,-76.5119,Resorts Resource Group International
610,Palau,PW,76.96,overcast clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
611,Saint-Denis,FR,83.23,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
612,Sur,OM,86.5,broken clouds,22.5667,59.5289,Sur Plaza Hotel
616,Poso,ID,77.47,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
623,Aguada De Pasajeros,CU,85.64,overcast clouds,22.385,-80.8508,CASA MAMÁ
625,Sisophon,KH,78.94,light rain,13.5859,102.9737,Pyramid Hotel
626,Astaneh-Ye Ashrafiyeh,IR,78.73,clear sky,37.2596,49.9444,Hotel Farrokhi هتل فرخی
631,Isla Mujeres,MX,86.05,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
632,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
635,Longhua,CN,76.39,overcast clouds,23.6137,114.1919,Huadu Hotel
636,Morada Nova,BR,89.37,clear sky,-5.1067,-38.3725,PIZZARIA MARIANA
638,Biak,ID,75.92,light rain,-0.9131,122.8766,Penginapan Kim
642,Ha Tinh,VN,80.19,heavy intensity rain,18.3333,105.9,Phú Quý
645,Arawa,PG,76.28,light rain,-6.2132,155.5367,Coastline Guest House
648,Kalmunai,LK,84.52,overcast clouds,7.4167,81.8167,VS Villa
654,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
655,Bobo Dioulasso,BF,89.8,few clouds,11.1771,-4.2979,IBA Hotel
657,Nara,JP,80.49,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
659,Huilong,CN,81.59,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
660,Mahibadhoo,MV,82.74,light rain,3.7833,72.9667,Omadhoo Inn
661,Kpandae,GH,87.39,overcast clouds,8.4689,-0.0113,Catholic Guest House
662,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
663,Bambanglipuro,ID,77.27,overcast clouds,-7.95,110.2833,Puri Brata
669,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
670,Powell,US,79.61,moderate rain,40.1578,-83.0752,The Brig
675,Concarneau,FR,79.09,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
676,Bardiyah,LY,83.21,clear sky,31.7561,25.0865,بورتو بردية
677,Zaraysk,RU,81.18,overcast clouds,54.7653,38.8836,Guest House on Krasnoarmeyskaya 46
678,Nuevo Laredo,MX,88.07,scattered clouds,27.4763,-99.5164,City Express Nuevo Laredo
680,Labuhan,ID,78.48,overcast clouds,-6.8844,112.2051,DoubleFAG
682,Lewistown,US,84.87,broken clouds,40.5992,-77.5714,Quality Inn & Suites
683,Primorsk,UA,82.87,clear sky,46.7348,36.3443,Relax
685,Yambio,SS,82.74,scattered clouds,4.5721,28.3955,Naivasha Hotel
686,Beyneu,KZ,79.23,clear sky,45.3167,55.2,NUR
689,Zatoka,UA,80.44,clear sky,46.0725,30.4654,Sonyachna
690,Uchiza,PE,80.08,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
691,Usinsk,RU,77.67,clear sky,65.9939,57.5281,Dobro Pozhalovaty
693,Coahuayana,MX,83.61,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
694,Sapele,NG,83.79,light rain,5.8941,5.6767,Movig Hotel & Suites
697,Gasa,PS,87.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
698,Guanica,PR,89.04,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
