City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
352,Jaumave,MX,23.4167,-99.3833,84.16,37,13,3.65,few clouds
353,Mokhsogollokh,RU,61.4681,128.9203,64.24,85,100,2.64,overcast clouds
354,Batemans Bay,AU,-35.7167,150.1833,56.1,82,100,6.82,overcast clouds
355,Lata,PT,40.1629,-8.3327,86.07,52,0,10.13,clear sky
356,Singaparna,ID,-7.3515,108.111,71.65,98,98,1.88,overcast clouds
357,Kangaatsiaq,GL,68.3065,-53.4641,40.26,91,100,8.21,overcast clouds
358,Santa Fe,AR,-31.6333,-60.7,55.99,98,100,1.99,light rain
359,Vila Velha,BR,-20.3297,-40.2925,82.35,56,20,5.75,few clouds
360,Pitkyaranta,RU,61.5734,31.4792,62.11,67,96,9.42,overcast clouds
361,Berlevag,NO,70.8578,29.0864,55.4,87,100,9.22,overcast clouds
362,Quang Ngai,VN,15.1167,108.8,78.44,94,100,6.49,overcast clouds
363,Moussoro,TD,13.6408,16.4901,97.65,30,88,15.03,overcast clouds
364,Richards Bay,ZA,-28.783,32.0377,68.74,78,58,10.2,broken clouds
365,Ardakan,IR,32.31,54.0175,94.28,14,0,21.47,clear sky
366,Sapa,PH,5.1544,120.3241,81.16,81,25,4.97,scattered clouds
367,Catarman,PH,12.4989,124.6377,76.66,93,82,3.78,broken clouds
368,Ponta Delgada,PT,37.7333,-25.6667,75.51,73,40,14.97,scattered clouds
369,Tevaitoa,PF,-16.7833,-151.5,78.55,71,15,10.83,few clouds
370,Belogorsk,RU,50.9158,128.4611,72.34,93,100,11.1,overcast clouds
371,Corpus Christi,US,27.8006,-97.3964,89.64,75,75,11.5,broken clouds
372,Churapcha,RU,62.0025,132.4325,66.85,93,67,5.77,broken clouds
373,Quimper,FR,48.0,-4.1,77.58,50,0,12.66,clear sky
374,Tjome,NO,59.1109,10.3933,68.14,51,75,9.22,broken clouds
375,Zalantun,CN,48.0,122.7167,60.1,93,100,2.53,overcast clouds
376,Tall Kayf,TR,37.0833,41.0667,100.35,10,6,4.36,clear sky
377,Pemberton,CA,50.3164,-122.8027,56.89,70,100,1.32,overcast clouds
378,Litovko,RU,49.2361,135.1742,72.34,92,3,2.71,clear sky
379,Clyde River,CA,70.4692,-68.5914,50.23,62,20,3.44,few clouds
380,Paptalaya,HN,15.5,-84.3167,83.28,73,96,7.09,overcast clouds
381,Tessalit,ML,20.1986,1.0114,104.65,14,34,4.65,scattered clouds
382,Portland,US,45.5234,-122.6762,64.99,92,100,5.01,overcast clouds
383,Pisco,PE,-13.7,-76.2167,61.02,77,96,3.44,haze
384,Tambopata,PE,-12.7333,-69.1833,84.09,65,20,2.3,few clouds
385,Hithadhoo,MV,-0.6,73.0833,82.85,76,100,11.27,overcast clouds
386,Nome,US,64.5011,-165.4064,52.16,87,100,10.36,light rain
387,Haysville,US,37.5645,-97.3523,89.31,56,0,4.0,clear sky
388,Wenling,CN,28.3669,121.36,80.22,89,50,17.98,scattered clouds
389,Abu Dhabi,AE,24.4667,54.3667,96.82,69,0,9.22,clear sky
390,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
391,Nivala,FI,63.9167,24.9667,57.81,88,100,3.96,overcast clouds
392,Tottori,JP,35.5,134.2333,73.22,92,5,1.97,clear sky
393,Mezen,RU,65.8522,44.24,73.06,56,15,6.17,few clouds
394,Honningsvag,NO,70.9821,25.9704,55.15,67,100,10.36,light rain
395,Bodinayakkanur,IN,10.0167,77.35,76.53,81,100,5.35,overcast clouds
396,Kununurra,AU,-15.7667,128.7333,51.78,71,21,0.0,few clouds
397,San Patricio,US,28.017,-97.5169,89.49,59,100,11.25,overcast clouds
398,Maldonado,UY,-34.6667,-54.9167,57.22,74,100,14.88,light rain
399,Saint-Pierre,RE,-21.3393,55.4781,69.91,67,20,14.97,few clouds
400,Maloy,NO,61.9353,5.1136,53.33,84,100,16.22,light rain
401,Birganj,NP,27.0104,84.8774,89.83,60,95,13.73,overcast clouds
402,Lazaro Cardenas,MX,17.9583,-102.2,81.07,72,82,3.47,broken clouds
403,Baijiantan,CN,45.6333,85.1833,83.32,27,9,5.93,clear sky
404,Sao Borja,BR,-28.6606,-56.0044,76.95,62,96,13.09,overcast clouds
405,Pontal Do Parana,BR,-25.6533,-48.5128,78.98,56,90,3.29,overcast clouds
406,Tura,IN,25.5198,90.2201,75.69,91,80,3.27,broken clouds
407,Gizo,SB,-8.103,156.8419,81.57,78,100,9.28,overcast clouds
408,El Guamo,CO,10.0316,-74.9761,83.64,75,62,10.54,broken clouds
409,Beyla,GN,8.6833,-8.6333,77.63,75,91,4.59,light rain
410,Thompson,CA,55.7435,-97.8558,64.56,55,75,6.91,broken clouds
411,San Ramon,US,37.7799,-121.978,64.81,78,85,5.01,overcast clouds
412,Mount Isa,AU,-20.7333,139.5,42.57,87,4,3.44,clear sky
413,Ust-Maya,RU,60.4167,134.5333,73.65,72,5,2.75,light rain
414,Mehamn,NO,71.0357,27.8492,55.35,76,75,2.3,broken clouds
415,Atar,MR,20.5169,-13.0499,111.81,8,8,17.9,clear sky
416,Bosobolo,CD,4.1833,19.9,79.99,72,85,2.06,light rain
417,Kyra,RU,49.5776,111.9753,55.74,73,8,2.86,clear sky
418,Vanimo,PG,-2.6741,141.3028,77.56,87,100,1.97,overcast clouds
419,Pochutla,MX,15.7432,-96.4661,80.82,70,100,4.29,overcast clouds
420,Rundu,NA,-17.9333,19.7667,80.19,17,2,6.91,clear sky
421,Palmer,US,42.1584,-72.3287,81.14,63,89,5.01,overcast clouds
422,Safaga,EG,26.7292,33.9365,90.95,37,0,12.57,clear sky
423,Micheldorf,AT,46.9222,14.4405,79.48,57,97,3.6,overcast clouds
424,Bam,IR,29.106,58.357,95.9,14,23,14.83,few clouds
425,Vao,NC,-22.6667,167.4833,75.49,76,100,12.26,overcast clouds
426,Trapani,IT,37.8333,12.6667,95.88,32,3,12.57,clear sky
427,Ketchikan,US,55.3422,-131.6461,57.67,88,100,0.0,overcast clouds
428,Margate,GB,51.3813,1.3862,73.87,68,100,4.0,overcast clouds
429,Campoverde,PE,-8.4753,-74.8058,82.09,54,15,1.16,few clouds
430,Bubaque,GW,11.2833,-15.8333,80.91,79,99,10.92,overcast clouds
431,Panzhihua,CN,26.5851,101.7128,77.76,66,0,0.67,clear sky
432,Moranbah,AU,-22.0016,148.0466,52.16,67,0,7.16,clear sky
433,Dalbandin,PK,28.8947,64.4101,83.59,64,90,23.64,light rain
434,Deputatskiy,RU,69.3,139.9,41.23,90,100,4.43,overcast clouds
435,Najran,SA,17.4924,44.1277,97.45,13,100,9.62,overcast clouds
436,Novonukutskiy,RU,53.7002,102.7117,59.97,87,99,13.2,overcast clouds
437,Toora-Khem,RU,52.4675,96.11,52.95,80,88,3.89,overcast clouds
438,Yingcheng,CN,30.95,113.55,79.11,86,15,0.54,few clouds
439,Nanortalik,GL,60.1432,-45.2371,44.92,86,96,6.6,overcast clouds
440,Shimoda,JP,34.6667,138.95,73.11,89,99,13.91,overcast clouds
441,Manokwari,ID,-0.8667,134.0833,78.94,84,100,5.5,overcast clouds
442,Kasane,BW,-17.8167,25.15,80.69,21,20,10.36,few clouds
443,Fairbanks,US,64.8378,-147.7164,63.82,88,25,0.92,scattered clouds
444,Odesskoye,RU,54.2111,72.9651,59.27,87,100,7.81,overcast clouds
445,Tigzirt,DZ,36.8886,4.1198,90.09,53,69,13.76,broken clouds
446,Henties Bay,NA,-22.116,14.2845,61.02,70,0,13.94,clear sky
447,Tuatapere,NZ,-46.1333,167.6833,39.27,88,58,3.56,broken clouds
448,Yinchuan,CN,38.4681,106.2731,88.66,16,0,6.29,clear sky
449,Turangi,NZ,-39.0,175.9333,38.44,85,99,2.82,overcast clouds
450,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,68,100,7.47,overcast clouds
451,Birjand,IR,32.8663,59.2211,91.87,11,0,18.41,clear sky
452,Nunkini,MX,20.3333,-90.1833,87.98,54,54,5.59,broken clouds
453,Ust-Ilimsk,RU,58.0006,102.6619,60.28,72,16,2.1,few clouds
454,Remedios,CU,22.4947,-79.5458,84.22,69,12,10.0,few clouds
455,Maunabo,PR,18.0072,-65.8993,86.52,79,16,10.89,few clouds
456,Muli,MV,2.9167,73.5667,82.54,76,99,4.59,heavy intensity rain
457,Mubi,NG,10.2676,13.2644,82.56,59,83,6.6,broken clouds
458,Ejura,GH,7.3856,-1.3562,84.27,65,83,3.83,light rain
459,Palana,RU,59.1167,159.9667,47.61,95,100,6.35,overcast clouds
460,Mango,US,27.9797,-82.3065,91.94,81,40,1.99,scattered clouds
461,Eyl,SO,7.9803,49.8164,85.87,52,24,30.2,few clouds
462,Kunashak,RU,55.7032,61.5498,63.12,84,100,5.64,overcast clouds
463,Grand-Lahou,CI,5.1367,-5.0242,81.5,71,56,8.84,broken clouds
464,Faridabad,IN,28.4333,77.3167,97.05,35,21,9.62,few clouds
465,Moratuwa,LK,6.773,79.8816,80.08,83,94,12.88,overcast clouds
466,Indio,US,33.7206,-116.2156,90.12,45,0,8.05,clear sky
467,Nuevo Progreso,MX,23.1667,-97.95,86.9,64,40,3.0,scattered clouds
468,Santa Isabel,BR,-23.3156,-46.2214,76.3,35,93,1.99,overcast clouds
469,Lavrentiya,RU,65.5833,-171.0,44.92,93,99,2.95,overcast clouds
470,Berja,ES,36.8469,-2.9497,90.7,55,2,5.44,clear sky
471,Sorland,NO,67.667,12.6934,53.46,74,86,15.57,overcast clouds
472,Forio,IT,40.7342,13.8646,91.69,63,1,10.0,clear sky
473,Inta,RU,66.0317,60.1659,74.03,46,0,4.9,clear sky
474,Aljezur,PT,37.3191,-8.8033,76.21,62,4,10.8,clear sky
475,Hopkinsville,US,36.8656,-87.4886,91.62,77,5,10.6,clear sky
476,Gilbues,BR,-9.8317,-45.3439,87.26,27,0,11.32,clear sky
477,Letlhakeng,BW,-24.0944,25.0298,72.46,27,0,3.29,clear sky
478,Iquique,CL,-20.2208,-70.1431,60.84,69,68,6.62,broken clouds
479,Ostrovnoy,RU,68.0531,39.5131,66.92,58,68,15.3,light rain
480,Leh,IN,34.1667,77.5833,69.08,45,100,9.04,overcast clouds
481,Kumluca,TR,36.3703,30.2869,86.59,42,0,7.52,clear sky
482,Edson,CA,53.5835,-116.4356,53.71,100,100,3.44,overcast clouds
483,Aripuana,BR,-9.1667,-60.6333,89.73,28,0,3.53,clear sky
484,Penzance,GB,50.1186,-5.5371,67.32,72,20,18.41,few clouds
485,Kapit,MY,2.0167,112.9333,74.28,91,97,0.78,overcast clouds
486,Bandarbeyla,SO,9.4942,50.8122,78.91,71,9,34.74,clear sky
487,Carbondale,US,37.7273,-89.2168,89.06,70,0,4.61,clear sky
488,Buraydah,SA,26.326,43.975,102.15,9,35,14.63,scattered clouds
489,Sivas,TR,39.7916,37.0019,75.83,49,20,14.97,few clouds
490,Khani,GE,41.9563,42.9566,71.17,54,0,4.07,clear sky
491,Rawson,AR,-43.3002,-65.1023,50.45,66,99,20.4,overcast clouds
492,Gondanglegi,ID,-7.7479,112.0132,75.09,87,92,10.4,overcast clouds
493,Meulaboh,ID,4.1363,96.1285,79.21,81,31,2.24,scattered clouds
494,Turkmenabat,TM,39.0733,63.5786,89.15,15,0,10.58,clear sky
495,Siloam Springs,US,36.1881,-94.5405,91.29,54,0,17.27,clear sky
496,Vardo,NO,70.3705,31.1107,49.98,87,100,18.41,overcast clouds
497,Blagoyevo,RU,63.3667,47.9167,78.82,49,97,5.37,overcast clouds
498,Ankang,CN,32.68,109.0172,78.4,53,0,2.44,clear sky
499,San Jose De Guanipa,VE,8.8872,-64.1651,84.11,60,62,9.86,broken clouds
500,Baracoa,CU,20.3467,-74.4958,85.01,63,85,12.15,overcast clouds
501,Alyangula,AU,-13.8483,136.4192,65.41,67,28,10.38,scattered clouds
502,Marsa Matruh,EG,31.3525,27.2453,82.09,54,0,14.56,clear sky
503,Mount Gambier,AU,-37.8333,140.7667,47.46,82,32,5.32,scattered clouds
504,Middle Island,US,40.8843,-72.9373,86.25,65,40,14.97,scattered clouds
505,Santa Maria,BR,-29.6842,-53.8069,72.72,64,99,8.55,overcast clouds
506,Urumqi,CN,43.801,87.6005,70.75,49,0,2.24,clear sky
507,Namatanai,PG,-3.6667,152.4333,79.3,78,99,7.05,light rain
508,Tomatlan,MX,19.9333,-105.25,84.49,60,38,1.97,scattered clouds
509,Birao,CF,10.2849,22.7882,90.07,42,71,4.54,broken clouds
510,Tuy Hoa,VN,13.0833,109.3,81.43,85,100,6.33,overcast clouds
511,Imbituba,BR,-28.24,-48.6703,69.1,88,100,5.99,overcast clouds
512,Alekseyevka,RU,50.6309,38.6903,81.14,53,43,5.82,scattered clouds
513,Novovarshavka,RU,54.1721,74.6946,61.23,80,100,8.25,overcast clouds
514,Yanaul,RU,56.2719,54.9309,69.46,70,59,8.99,broken clouds
515,Sterling,US,39.0062,-77.4286,88.02,63,75,8.99,broken clouds
516,Broken Hill,AU,-31.95,141.4333,44.6,70,0,9.31,clear sky
517,Souillac,MU,-20.5167,57.5167,69.15,67,100,15.37,overcast clouds
518,Ahipara,NZ,-35.1667,173.1667,56.19,92,100,6.98,light rain
519,Mackenzie,CA,55.2999,-123.1698,57.47,89,100,0.54,overcast clouds
520,Hornepayne,CA,49.2138,-84.7705,63.41,45,2,5.35,clear sky
521,Barmer,IN,25.75,71.3833,90.1,58,55,14.25,broken clouds
522,High Level,CA,58.5169,-117.136,57.72,77,99,2.21,overcast clouds
523,Canoinhas,BR,-26.1772,-50.39,68.76,51,97,3.83,overcast clouds
524,Marzuq,YE,14.4,46.4667,95.61,12,100,13.85,overcast clouds
525,Liepaja,LV,56.5419,21.0367,64.38,59,40,13.8,scattered clouds
526,Waddan,LY,29.1614,16.139,100.78,15,0,18.23,clear sky
527,Tommot,RU,58.9564,126.2925,65.59,98,99,1.34,overcast clouds
528,Svetlogorsk,BY,52.6333,29.7333,79.77,58,100,9.01,overcast clouds
529,Amapa,BR,1.0,-52.0,83.93,66,0,2.93,clear sky
530,Haines Junction,CA,60.7522,-137.5108,61.65,63,85,1.36,overcast clouds
531,Broome,US,42.2506,-75.833,74.62,73,75,6.91,broken clouds
532,Taunggyi,MM,20.7833,97.0333,64.6,97,100,2.06,overcast clouds
533,Mwense,ZM,-10.3845,28.698,81.57,24,7,4.09,clear sky
534,Ramhormoz,IR,31.28,49.6035,111.61,8,0,9.1,clear sky
535,Nganjuk,ID,-7.6051,111.9035,74.91,88,87,7.54,overcast clouds
536,Monte Alegre De Minas,BR,-18.8706,-48.8808,78.94,28,0,14.2,clear sky
537,Atasu,KZ,48.6814,71.6433,65.73,54,89,3.74,overcast clouds
538,Augusto Correa,BR,-1.0217,-46.635,81.79,81,3,4.43,clear sky
539,High Prairie,CA,55.4334,-116.4858,54.86,84,20,5.7,few clouds
540,Carballo,ES,43.213,-8.691,81.75,63,0,15.39,clear sky
541,Ouargaye,BF,11.5033,0.0572,95.43,33,57,6.93,broken clouds
542,Rio Gallegos,AR,-51.6226,-69.2181,32.5,86,100,7.92,overcast clouds
543,Elesbao Veloso,BR,-6.2019,-42.1403,91.71,33,4,9.55,clear sky
544,West Bay,KY,19.3667,-81.4167,87.87,79,20,10.36,few clouds
545,Cockburn Town,TC,21.4612,-71.1419,81.14,75,8,15.32,clear sky
546,Guzelyurt,TR,38.2772,34.3719,75.49,24,0,7.63,clear sky
547,Berdyaush,RU,55.1619,59.1464,53.4,99,100,3.85,light rain
548,Miles City,US,46.4083,-105.8406,74.37,73,0,5.75,clear sky
549,Orlik,RU,52.5178,99.825,51.42,85,100,3.76,light rain
550,Edd,ER,13.9297,41.6925,93.33,50,39,11.27,scattered clouds
551,Hofn,IS,64.2539,-15.2082,55.42,76,40,10.36,scattered clouds
552,Pouebo,NC,-20.4,164.5667,74.98,82,100,9.08,overcast clouds
553,Dandong,CN,40.1292,124.3947,76.77,90,100,14.27,heavy intensity rain
554,Xam Nua,LA,20.4197,104.0439,69.08,99,100,2.3,overcast clouds
555,Copiapo,CL,-27.3667,-70.3333,49.69,34,100,3.06,overcast clouds
556,Carleton Place,CA,45.1334,-76.1494,70.66,85,98,4.0,overcast clouds
557,Mercedes,AR,-34.6515,-59.4307,54.03,74,42,10.78,scattered clouds
558,Teculutan,GT,14.9833,-89.7167,74.95,73,40,0.0,scattered clouds
559,Amurzet,RU,47.6967,131.0981,70.34,94,30,4.43,scattered clouds
560,Te Anau,NZ,-45.4167,167.7167,32.61,96,38,1.21,scattered clouds
561,San Rafael Del Sur,NI,11.8485,-86.4384,81.57,75,88,11.7,overcast clouds
562,Nizamabad,IN,18.6667,78.1167,76.08,88,99,11.48,overcast clouds
563,Maykor,RU,59.0059,55.88,64.83,83,80,5.44,broken clouds
564,Ulaanbaatar,MN,47.9077,106.8832,69.93,30,40,8.95,light rain
565,Antofagasta,CL,-23.65,-70.4,67.21,55,76,8.48,broken clouds
566,Osterburg,DE,52.7833,11.7667,68.22,41,98,10.65,overcast clouds
567,Shetpe,KZ,44.1667,52.1167,72.88,33,0,15.79,clear sky
568,Jalu,LY,29.0331,21.5482,99.46,16,0,16.46,clear sky
569,Lyaskelya,RU,61.7667,31.0167,65.39,57,99,9.28,overcast clouds
570,Hala,PK,25.8131,68.4227,84.18,51,54,8.55,light rain
571,Ambulu,ID,-8.345,113.6058,74.86,86,67,4.97,broken clouds
572,Naryan-Mar,RU,67.6713,53.087,66.15,87,95,8.97,moderate rain
573,Morsbach,DE,50.8667,7.75,68.67,53,100,8.28,overcast clouds
574,Kentau,KZ,43.5206,68.5094,82.11,17,3,14.99,clear sky
575,Rurrenabaque,BO,-14.4413,-67.5278,85.89,70,20,0.0,few clouds
576,Coos Bay,US,43.3665,-124.2179,61.99,99,100,0.0,overcast clouds
577,Sao Pedro Do Piaui,BR,-5.9294,-42.7186,88.29,39,14,8.48,few clouds
578,Biloela,AU,-24.4167,150.5,48.83,76,0,2.75,clear sky
579,Yei,SS,4.095,30.6779,80.96,55,52,2.42,broken clouds
580,Faqirwali,PK,29.4663,73.034,103.28,31,96,7.99,overcast clouds
581,Oktyabrskoye,RU,43.0645,44.7417,78.35,36,79,13.42,broken clouds
582,Sindor,RU,62.8629,51.8905,78.78,42,43,9.33,scattered clouds
583,Vagur,FO,61.4732,-6.8119,48.92,83,42,14.63,scattered clouds
584,Kamenka,RU,51.3223,42.7678,77.7,42,0,2.26,clear sky
585,Rozhyshche,UA,50.9154,25.2691,66.13,72,100,9.1,overcast clouds
586,Denpasar,ID,-8.65,115.2167,78.46,78,40,11.5,scattered clouds
587,Campamento,HN,14.55,-86.65,74.43,83,98,4.83,overcast clouds
588,Salinopolis,BR,-0.6136,-47.3561,83.77,65,6,6.6,clear sky
589,Bandar-E Lengeh,IR,26.5579,54.8807,95.11,66,90,6.91,haze
590,Clonakilty,IE,51.6231,-8.8706,69.1,70,94,15.55,overcast clouds
